Baris Upacara,"Tari Baris Upacara adalah jenis seni tari dari Bali yang umumnya tidak memiliki lakon atau cerita. Tarian ini digunakan dalam upacara keagamaan dan seringkali ditampilkan untuk memuja Dewa Yadnya. Sejarah Tari Baris Upacara terkait dengan legenda Bhatara Indra yang menyerang Raja Mayadenawa, seorang Raja Bali Aga. Dalam penyerangan tersebut, Raja Mayadenawa tewas dalam pertempuran, dan para dewa kemudian berkumpul di Manukraya untuk menghadap Bhatara Indra. Pada saat itu, para dewa mendirikan empat Kahyangan, yaitu tempat-tempat suci di Kedisan, Tihingan, Manukraya, dan Keduhuran. Tari Baris Upacara merupakan tarian untuk memuja Dewa Yadnya dan mempersembahkan penghormatan kepada dewa-dewa. Melalui gerakan-gerakan tari yang khas, Tari Baris Upacara mengungkapkan keagungan dan kemuliaan para dewa serta mengkomunikasikan rasa syukur dan pengabdian umat kepada mereka. Tarian ini juga menjadi bagian integral dari ritus keagamaan yang diadakan di pura-pura Bali, baik dalam rangkaian perayaan besar maupun dalam ritus harian. Tari Baris Upacara melibatkan sejumlah penari yang terdiri dari pria dewasa yang menggunakan kostum tradisional Bali, seperti saput, kamen, selendang, udeng, dan kain berwarna-warni. Gerakan tariannya menggambarkan keberanian, keanggunan, dan kedisiplinan, serta melibatkan penggunaan senjata seperti tombak, perisai, dan pedang. Tarian ini juga dapat melibatkan penyanyi dan pemain gamelan sebagai pengiring musik. Tari Baris Upacara dapat ditarikan oleh penari pria dari berbagai usia, tergantung pada kebutuhan ritus dan pertunjukan.",Seni Pertunjukan
Barong Nong Nong Kling,"Barong Nong Nong Kling adalah sebuah Seni Pertunjukan yang menggabungkan tari, musik, dan drama/teater di Dusun Suwelagiri, Desa Aan, Kecamatan Banjarangkan, Kabupaten Klungkung, Bali. Pertunjukan ini dilakukan pada Hari Raya Galungan/Kuningan dan melibatkan para pria krama pengempon/anggota pura. Meskipun tidak menggunakan kostum berupa barong, Seni Pertunjukan ini tetap termasuk dalam kategori kesenian barong. Nama ""Nong Nong Kling"" merujuk pada suara iringan musik yang menghasilkan bunyi ""nong, nong, kling"" ketika dipukul. Cerita yang dipentaskan dalam pertunjukan ini diambil dari kisah Ramayana, yaitu ""Kerebut Kumbakarna"" (pertarungan melawan Kumbakarna yang diserbu oleh banyak kera). Pertunjukan Barong Nong Nong Kling terkait dengan pelaksanaan ritus keagamaan dan nilai-nilai spiritual. Pementasan Barong Nong Nong Kling berperan sebagai penolak bala dan sarana untuk mendapatkan berkah dan keselamatan. Pertunjukan ini merupakan bagian dari tradisi penyelamatan budaya dan merupakan cara masyarakat mendekatkan diri dengan Tuhan. Selain sebagai hiburan kesenian, pertunjukan ini juga memperkuat rasa kebersamaan dan memberikan pendidikan kepada penonton untuk menjaga hubungan yang baik dengan sesama, Tuhan, dan lingkungan. Makna sosialnya juga terlihat dalam upaya menjaga dan melestarikan warisan budaya leluhur. Pementasan Barong Nong Nong Kling menampilkan karakter tokoh-tokoh bertopeng dan berbusana seperti Anoman, Subali, Sugriwa, Kumbakarna, Rahwana, dan punakawan. Musik pengiring yang digunakan adalah gamelan batel, yang terdiri dari dua kendang kecil, satu set ceng-ceng kecil, kenong, kelenang, kempul, dan seruling. Pertunjukan Barong Nong Nong Kling dilakukan di alam terbuka tanpa panggung, dengan penonton duduk melingkar di sekitar area pertunjukan. Pemainnya terdiri dari lima orang laki-laki, di mana formasi pemain mengikuti alur cerita dan improvisasi. Dialog antara tokoh Kumbakarna dan kera menggunakan bahasa Kawi, yang diterjemahkan ke dalam bahasa Bali sambil melawak dan menyanyi. Para pemain dalam pertunjukan ini terdiri dari para pria krama pengempon/anggota pura, dan umumnya semua pemain adalah laki-laki. Pertunjukan ini juga melibatkan partisipasi anak-anak, yang mengikuti pemain dan ikut serta dalam ritus ngelawang dengan gembira.",Seni Pertunjukan
Dramatari Gambuh,"Dramatari Gambuh adalah tarian lakon klasik tertua dalam khazanah tari Bali, yang menggabungkan unsur seni, drama, musik, dialog, dan tembang. Nama penari dalam Dramatari Gambuh diambil dari nama Kerajaan di Jawa Timur pada abad ke-12 hingga ke -14. Kini, terdapat beberapa nama penari yang terkenal dalam seni ini, yaitu Demang Sampi Gontak, Tumenggung Macan Angelur, Rangga Toh Jiwa, Arya Kebo Angun-angun, Punta Tan Mundur, dan lain-lain. Fungsi dari Dramatari Gambuh adalah sebagai tari seremonial yang mengiri upacara di pura, dan sering menampilkan hikayat tentang kehidupan, peperangan, dan roman raja seperti Jenggala, Kediri, Gegelang, dan lain-lain. Alat yang digunakan adalah penari, iringan music dari gamelan Bali terutama gamelan Gambuh, kostum tradisional Bali yang terdiri dari kain sarung dan kain kembang dengan hiasan motif khas. Dramatari Gambuh dapat dipentaskan oleh pria maupun Wanita.",Seni Pertunjukan
Genjek,"Genjek adalah seni yang berkembang di Kabupaten Karangasem Bali. Pada awalnya, Genjek dilakukan secara spontan dalam acara upacara kematian atau habis panen, tetapi kemudian berkembang menjadi sebuah seni pertunjukkan dengan penambahan instrumen pengiring, pementasan di panggung atau gedung pertunjukkan, dan pementasan yang berlaku secara formal. Fungsi Genjek adalah sebagai hiburan bagi masyarakat untuk menghilangkan kepenatan, sebagai karya seni dengan harmonisasi vokal dan ritme yang khas, sebagai media integrasi sosial untuk menyatukan dan meningkatkan rasa persaudaraan di komunitasnya, sebagai media penyampaian pesan yang mencakup kritik sosial, percintaan, keindahan alam, dan kehidupan sehari-hari. Dalam pertunjukkan Genjek, terdapat beberapa komponen penting. Pertama, penari atau pelaku Genjek, yang sebagian besar adalah laki-laki. Kedua, ragam gerak tari yang muncul secara spontanitas dari para pemain. Ketiga, tata rias dan busana yang tidak terlalu mengikat, dengan pemain biasanya memakai kemben/kain, saput poleng, dan rompi. Keempat, musik iringan Genjek yang menekankan pada bunyi vokal (cipak) dan instrumen gamelan seperti kendang, cengceng, reong, petuk, serta kolaborasi dengan alat musik seperti kecapi, angklung bambu, dan rindik. Kelima, lagu dan syair yang diciptakan oleh setiap grup Genjek dengan tema yang beragam. Terakhir, tempat pementasan Genjek dapat dilakukan di berbagai tempat, seperti panggung, lapangan terbuka, atau lapangan tertutup. Waktu pementasan umumnya pada malam hari.",Seni Pertunjukan
Janger Kedaton Sumerta dan Pegok Sesetan,"Janger Kedaton Sumerta dan Pegok Sesetan adalah dua jenis tarian tradisional yang berasal dari Bali. Janger Kedaton Sumerta muncul di Banjar Kedaton Sumerta pada tahun 1906 setelah munculnya ucapan ""Akulah Ibu janger"" dari seorang pengembala sapi dalam keadaan trance. Tarian ini berkembang dari kegiatan nyanyian dan pantun para pengembala sapi di pinggir kali. Sementara itu, Tari Janger Pegok Sesetan muncul sekitar tahun 1936 di Banjar Pegok dan berkembang menjadi tarian yang melibatkan penari pria (kecak) dan penari wanita (janger). Kedua tarian ini memiliki fungsi yang berbeda, Janger Kedaton Sumerta berfungsi sebagai hiburan untuk masyarakat dan menjadi media penyampaian pesan-pesan dalam lirik-lirik lagu yang adaptif. Tarian ini melibatkan penari pria dan penari wanita yang saling berinteraksi dalam gerakan-gerakan yang enerjik dan ceria. Janger Kedaton Sumerta juga memiliki fungsi ritual dan telah disakralkan melalui berbagai prosesi dan tata cara dalam pementasannya. Sementara itu, Tari Janger Pegok Sesetan memiliki fungsi sebagai tarian hiburan dan juga tarian ritual yang disakralkan. Tarian ini dipentaskan dalam acara piodalan di Pura Kesuma Sari dan menjadi bagian penting dari upacara tersebut. Dalam pertunjukan Janger Kedaton Sumerta, terdapat berbagai alat dan bahan yang digunakan. Musik pengiringnya menggunakan alat musik tradisional Bali seperti gamelan, gender wayang, dan suling. Jumlah penari janger dan kecak biasanya disesuaikan dengan konteks acara, namun jumlah penari laki-laki dan perempuan harus sama. Janger Kedaton Sumerta memiliki struktur pertunjukan yang melibatkan olah vokal dan tari dengan ragam formasi antara penari kecak dan janger. Sedangkan Tari Janger Pegok Sesetan dipentaskan setiap nutug ketelun purnamaning kapat di bulan September-Oktober, dan sering melibatkan penari wanita dalam formasi tari yang terorganisir dengan baik. Kedua tarian ini menjadi bagian dari ekspresi estetis dan penyampai pesan melalui gerakan tari, lirik-lirik lagu, dan simbol-simbol budaya yang terkandung di dalamnya.",Seni Pertunjukan
Joged,"Joged adalah tarian tradisional asal Bali, yang telah ada sejak masa lampau. Joged merupakan tarian pergaulan yang sering ditemukan di seluruh Bali. Puncak perkembangan Joged Bumbung terjadi pada tahun 1946 di daerah Bali utara bagian barat, seperti Seririt, Munduk, dan Suwung. Selain itu, terdapat juga jenis-jenis Joged lainnya seperti Joged Gebyog, Joged Legong, Adar, Gandrung, dan Joged Pingitan. Joged berfungsi dengan hiburan dan perayaan rakyat di Bali, di mana Joged dipentaskan sebagai bagian dari musim panen, hari raya, dan acara penting lainnya. Joged memiliki pola gerak yang bebas, lincah, dan dinamis, dengan improvisasi yang diambil dari tari Legong dan Tari Kekebyaran. Bagian penting dari pertunjukan joged adalah saat penari joged memilih penonton laki-laki untuk menari bersama, menciptakan suasana mesra dan interaksi langsung antara penari dan penonton. Dalam pertunjukan Joged, penari dan pengibing menggunakan kostum tradisional seperti kain, kebaya, selendang, dan gelungan. Gelungan Joged adalah hiasan kepala yang terbuat dari bunga kayu berbentuk cempaka. Alat musik yang digunakan dalam Joged terutama terdiri dari instrumen bambu seperti bumbung dan tingklik. Setiap jenis Joged memiliki alat musik yang berbeda, misalnya gamelan bumbung bambu untuk Joged Bumbung, tingklik bambu berlaras pelog untuk Gandrung, dan gegerantangan besar untuk Joged Gebyog.",Seni Pertunjukan
Mandolin,"Mandolin adalah salah satu alat musik tradisional yang tumbuh dan berkembang di Bali dengan kekhasan dan keunikan tersendiri. Bentuknya adalah alat musik dawai yang dimainkan dengan cara dipetik. Mandolin berasal dari kata Mandarin. Di desa Pupuan, Mandolin dulunya merupakan alat musik Cina yang dimainkan untuk membawakan melodi bernuansa mandarin, namun kemudian diubah bentuk dan cara memainkannya menjadi seperti Mandolin yang ada sekarang ini. Alat musik ini memiliki laras pelog tujuh nada dan dimainkan dalam posisi duduk atau sambil berjalan, terutama saat mengiringi prosesi-prosesi yang dilakukan dengan berjalan kaki. Saat ini, di Desa Pupuan, terdapat sekelompok anak muda yang membentuk sekaa Bungsil Gading yang khusus mempelajari dan memainkan Mandolin sebagai alat musik tradisional. Keterampilan memainkan Mandolin di sawah menjadi sarana petani melepas lelah , mengisi waktu luang. Hasil kerajinan Mandolin menjadi alat tradisional mengusir burung dari sawah, karena suaranya nyaring dan ramai. Pada perkembangannya, Mandolin juga dijadikan instrumen musik yang mengiringi berbagai prosesi di desa-desa sekitar wilayah Pupuan. Bahan baku utama Mandolin adalah kayu cempaka atau kayu nangka. Peralatan yang digunakan dalam pembuatan termasuk pisau belati, palu, kapak, meteran, pahat untuk mengukir, siku-siku, tang, gergaji, dan tuner gitar untuk menyetem Mandolin. Proses pembuatan dimulai dari persiapan bahan-bahan hingga perakitan bagian-bagian Mandolin seperti kepala, leher, dan badan. Ada juga proses penambahan ornament seperti ukiran pada kepala Mandolin dan pembuatan plat di tengah-tengah. Senar Mandolin dibuat dari kawat kecil yang dipisahkan helai demi helai dari tali rem atau gas sepeda motor, sehingga menghasilkan warna suara yang khas. Menyetem Mandolin memerlukan keahlian khusus karena tidak sama dengan menyetem gitar.",Kemahiran dan Kerajinan Tradisional
Mejaran-Jaranan,"Mejaran-jaranan adalah salah satu permainan tradisional yang berasal dari Desa Banyuning, Provinsi Bali. Permainan ini biasanya diadakan sebagai bagian dari rangkaian pujawali di Pura Gede Pemayun, diikuti oleh permainan Makeringan Endur. Nama ""Majaran-jaranan"" berasal dari kata ""Jaran"" yang berarti kuda, sebagai simbol ""Indria"" yang mewakili pengendalian diri. Fungsi sosial Mejaran-jaranan adalah sebagai sarana hiburan dan mendorong pembentukan karakter kelompok muda di Desa Banyuning berbentuk kerja sama, disiplin, tolong-menolong, dan saling menghargai antar pemain dalam kelompok. Dalam permainan Mejaran-jaranan, terdapat dua kelompok yang masing-masing terdiri dari 10 orang. Setiap kelompok memiliki pemain yang diangkat dan bersiap-siap membuat formasi permainan. Permainan ini melibatkan adu kekuatan di antara pemain dari kedua kelompok, dan kelompok yang pemainnya jatuh dianggap kalah, sementara kelompok yang masih bertahan dinyatakan sebagai pemenang. Selain itu, terdapat lirik lagu khusus yang dinyanyikan oleh para pemain selama permainan berlangsung.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Penting,"Penting adalah alat musik tradisional khas Kabupaten Karangasem, Bali. Alat musik ini memiliki bentuk yang unik, menyerupai gitar, dengan penggunaan dawai atau senar sebagai sumber bunyi. Penting dimainkan dengan cara digesek menggunakan alat yang disebut pengocet atau picks, mirip dengan cara memainkan gitar. Tradisi seni musik Penting ini telah ada sejak zaman penjajahan Belanda, dan berkembang menjadi bagian penting dalam budaya masyarakat Karangasem. Penting berfungsi sebagai pendukung dan pelengkap upacara adat dalam tradisi masyarakat Karangasem, serta hiburan untuk merayakan upacara Dewa Yadnya, Pitra Yadnya, maupun Manusa Yadnya. Proses pembuatan alat musik Penting menggunakan bahan-bahan khusus untuk menciptakan suara yang khas, yaitu Dawai atau senar yang digunakan sebagai sumber bunyi umumnya terbuat dari bahan logam. Pengocet atau picks yang digunakan untuk menggesek dawai dapat terbuat dari bahan pendok (kulit penyu) atau kulit bambu yang diiris tipis. Alat musik Penting memiliki tuts seperti pada piano yang berfungsi untuk menghasilkan nada yang diinginkan setelah dawai digesek. Cara memainkan Penting membutuhkan keterampilan khusus karena harus menggabungkan teknik memetik dan menekan tuts dengan tepat.",Seni Pertunjukan
Tari Sanghyang,"Tari Sanghyang adalah tarian sakral yang berasal dari Bali. Tarian ini dilakukan dalam konteks upacara adat suci dan memiliki ciri khas di mana penari menari tanpa sadar diri. Penari Sanghyang sering kali menutup mata dan mengizinkan roh masuk ke dalam dirinya, yang menggerakkan tubuhnya dalam tarian. Tarian ini diyakini telah ada sejak zaman agama Hindu belum sampai di Bali, sehingga dianggap sebagai bagian dari budaya primitif yang masih lestari hingga saat ini. Tari Sanghyang berfungsi sebagai bagian dari upacara adat suci dengan tujuan melindungi desa dari bahaya atau musibah seperti wabah penyakit atau bencana alam. Melalui tarian ini, masyarakat Bali berinteraksi dengan dunia roh dan mengharapkan perlindungan serta keberkahan bagi desa mereka. Proses pertunjukan Tari Sanghyang diiringi oleh nyanyian atau vokal yang menciptakan suasana yang magis. Proses tarian ini melibatkan penari yang memasuki keadaan tidak sadarkan diri (trance) dan membiarkan roh masuk ke dalam dirinya untuk menggerakkan tubuhnya. Tari Sanghyang dapat dilakukan oleh penari baik pria maupun wanita, namun penekanan utamanya adalah pada aspek spiritual dan transendental dalam pertunjukan.",Seni Pertunjukan
