Kasab,"Kasab adalah salah satu kerajinan tangan yang sangat penting bagi masyarakat Aceh. Kerajinan ini telah berkembang sejak abad ke-15 dan merupakan hasil sulaman tangan berbentuk kain beludru yang di atasnya disulam dengan benang emas mengikuti ragam hias yang menjadi ciri khas daerah tertentu. Kasab digunakan sebagai perangkat sulaman untuk berbagai upacara adat, terutama yang terkait dengan upacara daur hidup. Keberadaan benang emas di Aceh diperkenalkan oleh bangsa asing seperti Gujarat di India, Turki, Cina, dan lainnya. Kerajinan ini telah dikenal selama lebih dari 400 tahun. Kasab sebagai hasil Teknologi Tradisional digunakan sebagai hiasan dalam berbagai upacara adat seperti pernikahan, pesta suka cita, dan acara keagamaan . Pakaian dan dekorasi ruang dengan sulaman benang emas menunjukkan status sosial dan kehormatan keluarga. Selain itu, kasab juga merupakan interpretasi identitas Adat Istiadat yang disusun berdasarkan sistem simbol dan nilai-nilai kehidupan yang mendalam. Dalam proses pembuatan kasab, alat dan bahan yang digunakan meliputi kain beludru berwarna merah sebagai dasar untuk disulam, benang emas sebagai bahan utama untuk sulaman, dan benang merah sebagai pengikat benang emas. Proses pembuatannya melibatkan pemilihan pola, pengikatan benang emas dengan benang merah secara vertikal dan horizontal, serta penambahan tapak meracu dan motif lainnya.",Kemahiran dan Kerajinan Tradisional
Keni Gayo,"Keni Gayo adalah karya budaya yang berasal dari masyarakat Gayo, Provinsi Aceh. Keni Gayo terbuat dari tanah liat, dan sudah ada sejak masa prasejarah di tepian danau Lut Tawar. Temuan arkeolog dari Balai Arkeologi Medan membuktikan bahwa keberadaan keni ini telah ada sejak 8000 tahun yang lalu. Saat ini, Keni Gayo sudah langka dan hanya ditemukan pada waktu-waktu tertentu dan oleh beberapa orang tertentu. Keni Gayo memiliki empat bentuk yang dibedakan berdasarkan jenis kelamin  pemakainya, seperti Keni Rawan untuk laki-laki, Keni Banan untuk perempuan, Keni Labu untuk sesepuh perempuan, dan Keni Ganyong untuk anak-anak. Keni Gayo adalah Kerajinan Tradisional yang berfungsi wadah air minum yang digunakan dalam upacara perkawinan. Keberadaan keni ini mencerminkan kekayaan motif ornament Kerawang Gayo, dimana banyak motif yang telah hilang atau tidak lagi dikenal. Kreativitas kaum perempuan dalam membuat keni menunjukkan nilai estetika dan memanfaatkan sumber daya alam  untuk menghasilkan kerajinan yang memberikan manfaat ekonomi. Pembuatan keni Gayo melibatkan beberapa peralatan, seperti pelandas, batu penggilas, wat atau papan penggebuk, atulenesan, sendok makan, batu pipih, munuk atau pisau, bulu landak, dan mata uang logam, pecahan piring, lidi, dan rader baju. Proses pembuatan keni dimulai dengan menghaluskan tanah liat dan pasir, lalu membentuknya sesuai dengan bentuk yang diinginkan. Kemudian diukir dengan motif ornament Kerawang Gayo dan dikeringkan sebelum dibakar agar dapat digunakan sebagai wadah air.",Kemahiran dan Kerajinan Tradisional
Kupiah Meukutob,"Kupiah Meukeutob adalah penutup kepala khas yang berasal dari masyarakat Pidie, Aceh. Meskipun sering disebut sebagai Kupiah Teuku Umar, sebenarnya Kupiah Meukeutob bukan berasal dari Meulaboh dan Teuku Umar sendiri bukan orang Meulaboh. Kupiah Meukeutob awalnya dikenal sebagai Kupiah Kop, yang merupakan bagian dari pakaian sehari-hari masyarakat Pidie. Kupiah tersebut memiliki bentuk bulat seperti lobe dan biasanya digunakan sebagai penutup kepala saat ke masjid atau menghadiri kegiatan adat. Pada masa Kesultanan Aceh, Kupiah Meukeutob digunakan sebagai tanda status sosial, simbol kebesaran para raja atau bangsawan. Pada masa kini hasil kerajinan Kupiah Meukeutob digunakan dalam acara-acara adat seperti takziah (ziarah kubur) dan musyawarah adat. Kupiah ini menjadi simbol hukum, adat, kepahlawanan, agama serta hubungan antara Tuhan, pemimpin, dan masyarakat. Proses pembuatan Kupiah Meukeutob dimulai dengan membasahi kain tetron dengan air kanji, memotong dan menjahit potongan kain menjadi susunan motif yang diinginkan, menggulung kapas menjadi bagian dalam kupiah, membuat bagian puncak kupiah dengan benang putih, menyatukan bagian badan dan puncak kupiah dengan menjahit, serta melapisi dan menjemur kupiah untuk sentuhan akhir. Pembuatan kupiah ini dilakukan secara bersama-sama oleh para perajin. Kupiah Meukeutob memiliki ragam hias seperti motif pucok rebong, bungong puteng, bungong campli, dan ceulangiek ceunu yang diambil dari tanaman yang mudah ditemukan di Pidie.",Kemahiran dan Kerajinan Tradisional
Menatakhken Hinei,"Menatakhken Hinei (melepaskan inai) adalah tarian tradisional yang berasal dari masyarakat Singkil di Provinsi Aceh sebagai tarian yang mengiringi perayaan pesta perkawinan atau sunat Rasul, maupun bagian dari upacara tradisional. Fungsi sosial Menatakhken Hinei adalah ekspresi kegembiraan dan kebahagiaan dalam acara-acara penting, seperti pernikahan dan sunat rasul. Sebagai tari persembahan, Menatakhken Hinei mencerminkan penghormatan dan rasa hormat terhadap Raja dan keluarganya, serta sebagai bentuk hiburan bagi seluruh masyarakat. Dalam penampilan Menatakhken Hinei, tidak ditemukan pola lantai atau pola langkah yang standar. Tari ini lebih bersifat spontan dan improvisasi, tergantung pada musik dan irama yang mengiringinya. Para penari mengenakan Pakaian Tradisional khas Suku Singkil yang indah dan berwarna-warni. Musik pengiring tarian ini menggunakan alat musik tradisional seperti gendang dan gong yang mengiringi gerakan penari. Tari ini biasanya melibatkan baik laki-laki maupun perempuan sebagai penari.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Pacu Kude,"Pacu Kude adalah atraksi perlombaan pacuan kuda sejak tahun 1850 di daerah Gayo, Aceh. Pacu Kude pertama kali diselenggarakan pada saat luah berume atau lues belang, yaitu setelah panen padi. Kuda memiliki peran penting dalam kehidupaSaat ini, pacuan kuda menjadi kegiatan mengisi waktu luang para pemuda setelah panen padi, terutama di daerah Bintang. n masyarakat Gayo, terutama sebagai sarana transportasi barang dan manusia serta alat bantu dalam kegiatan pertanian, terutama di sawah. Pacu Kude berfungsi sebagai bentuk perayaan dan penghargaan atas hasil panen yang telah berhasil, sarana hiburan dan ajang untuk memperlihatkan kecepatan dan kepiawaian kuda-kuda yang dimiliki masyarakat. Proses pelaksanaan Pacu Kude menggunakan kuda sebagai pelari dan opoh kerung (kain sarung) untuk menangkap kuda-kuda yang berkeliaran saat Lues Belang. Prosesnya dimulai dengan menangkap kuda-kuda tersebut dengan menggunakan opoh kerung dan menyiapkan arena pacuan yang memanjang untuk dijadikan jalur lomba.",Kemahiran dan Kerajinan Tradisional
Payung Mesikhat,"Payung Mesikhat adalah payung adat yang berasal dari suku Alas di Kabupaten Aceh Tenggara, Provinsi Aceh. Payung Mesikhat memiliki ciri khas berupa kain hitam yang tidak tembus air. Kain tersebut dihiasi dengan sulaman yang memiliki cerita dan arti tertentu, yang meliputi berbagai gambaran dari masa gadis/lajang hingga kematian. Payung Mesikhat berfungsi sebagai media untuk menyampaikan cerita dan arti kehidupan, karena gambar-gambar dan sulaman yang terdapat pada payung menggambarkan perjalanan hidup, tahapan perkawinan, kehidupan sehari-hari, hingga momen-momen penting dalam kehidupan masyarakat Alas. Proses pembuatan Payung Mesikhat dibuat dengan menggunakan bahan kain hitam yang tidak tembus air. Bagian atas payung akan diisi dengan motif tertentu, bagian tengah terdapat gambar-gambar yang bersambung dan bercerita, sedangkan bagian bawah payung memiliki bermacam-macam motif yang disesuaikan dengan permintaan dari pemesan atau keperluan upacara adat tertentu. Proses pembuatan payung Mesikhat dilakukan dengan hati-hati dan teliti oleh para perajin yang memiliki keterampilan khusus dalam seni sulaman dan ukiran tradisional.",Kemahiran dan Kerajinan Tradisional
Pemamanan,"Pemamanan adalah tradisi yang dilakukan oleh masyarakat suku Alas di Kutacane, Aceh Tenggara. Dalam tradisi ini, sejumlah orang berpakaian adat Alas menunggang kuda beriringan dari satu ujung jalan ke ujung jalan lainnya, melintasi jalan umum. Tradisi ini berkaitan dengan perhelatan pesta sunat atau pesta pernikahan keponakannya. Paman memainkan peran sebagai penanggung jawab atas kelancaran dan kesuksesan pesta tersebut, serta bertanggung jawab untuk menyediakan tunggangan kuda dan memenuhi berbagai keperluan pesta. Pemamanan berfungsi sebagai memperkuat ikatan keluarga dan gotong royong dalam mempersiapkan dan menyelenggarakan perhelatan pesta. Proses pelaksanaan pemamanan, peran paman menjadi wujud penghormatan dan penghargaan dari masyarakat suku Alas. Proses pemamanan juga melibatkan partisipasi dan dukungan dari masyarakat setempat, karena ada proses pengumpulan uang sebagai tanda gotong royong dan hidup saling berdampingan. Saat ini, tradisi pemamanan berubah dengan pemberian hadiah yang lebih modern seperti kulkas atau sepeda motor sebagai tambahan dari sumbangan tradisional seperti kambing atau lembu.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Sidalupa,"Si Dalupa merupakan salah satu jenis teater rakyat yang berasal dari wilayah Aceh Barat, khususnya di kecamatan Woyla Barat, Woyla Timur, dan Bubon, Aceh. Meskipun terdapat kemiripan dengan beberapa kesenian dari daerah lain, Si Dalupa tidak berkaitan dengan cerita tentang hantu atau sarana untuk ritual tertentu, melainkan berakar dari kisah tentang dua saudara, Da dan Lupa, yang telah terilhami sejak zaman kolonial Belanda. Pertunjukan Si Dalupa memiliki ciri khas unik, yaitu nyaris tanpa dialog, dan tempo permainannya tidak ditentukan oleh cerita, melainkan oleh tiupan serune kalee, yang berfungsi sebagai alat musik penanda waktu dalam pertunjukan tari. Kelompok-kelompok kesenian Si Dalupa juga memiliki kostum khas dan unik. Saat ini, kondisi Si Dalupa sudah berkurang dan terancam kepunahan, seiring dengan lenyapnya beberapa teater rakyat lainnya di daerah tersebut. Si Dalupa merupakan teater rakyat yang mencakup banyak ragam seni dan tradisi lokal, karena dalam sekali pertunjukannya Si Dalupa sekaligus menampilkan parade kisah dari tradisi lisan, teka-teki Aceh, peragaan pengobatan tradisional, lantunan syair Aceh, tari-tarian, dan permainan rapa'i. Pertunjukan ini sering dihadirkan dalam acara-acara seperti pesta perkawinan, turun tanah, sunat rasul, serta hari besar Islam seperti Maulid dan Lebaran. Para pemain Si Dalupa mengenakan topeng dari pelepah pohon enau dan kostum dari daun pisang tua atau serabut ijuk, yang membuat mereka terlihat seperti setan, monster, atau hantu. Dalam pertunjukan, terdapat banyak unsur seni dan budaya Aceh lainnya, seperti permainan rapa'i, geundrang, seurunee kalee, dan pertunjukan Daboh (Debus Aceh). Selain itu, Si Dalupa memiliki cara khusus dalam melakukan penyamaran, di mana para pemain selalu berganti kostum di tempat gelap dan tersembunyi agar wajah mereka tidak dikenali oleh penonton.",Seni Pertunjukan
Silat Pelintau,"Silat Pelintau adalah seni bela diri tradisional yang didirikan pada tahun 1953 oleh Maha Guru OK Said bin Unus, seorang putra asli Tamiang, Aceh. Sejak usia 15 tahun, Maha Guru berkelana untuk mencari ilmu silat dari berbagai daerah, hingga akhirnya kembali ke Tamiang dan berguru kepada Tengku Lotan. Sebelum dikukuhkan pada tahun 1953, Silat Pelintau diajarkan secara rahasia kepada pemuda-pemuda Tamiang untuk membantu melindungi daerah dari serangan musuh dan mencari kemerdekaan dari penjajah Belanda. Setelah mendapat pengakuan pada tahun tersebut, Silat Pelintau kemudian dapat diajarkan secara terang-terangan. Silat Pelintau merupakan olahraga beladiri tradisional yang memiliki fungsi sosial penting dalam masyarakat Tamiang. Ada dua jenis silat seni yang populer di Tamiang, yaitu silat songsong dan silat rebas tebang. Silat songsong menjadi Seni Pertunjukan digunakan untuk menyambut tamu kehormatan dan sering dipertunjukkan dalam acara pernikahan. Sementara silat rebas tebang khusus digunakan untuk menyambut mempelai pria dalam pernikahan, menyambut anak yang telah disunat dalam upacara rasul, dan menyambut anak laki-laki dalam acara turun tanah. Dalam setiap pertunjukan Silat Pelintau, para peserta mengenakan kostum khusus berupa baju dan celana berwarna hitam, tengkuluk berwarna biru kehijauan bagi pria dan jilbab biru bagi wanita, selempang merah, serta kain songket kuning. Alat musik pengiring Silat Pelintau terdiri dari gendang, biola, dan gong, yang menambahkan nuansa dan ritme dalam pertunjukan. Pada beberapa kesempatan, Silat Pelintau juga menyertakan Tari Piring sebagai selingan, yang dimainkan oleh penari perempuan dengan 2 buah piring kecil. Tari Piring ini dipertunjukkan pada saat-saat khusus seperti malam berinai. Selain itu, Silat Pelintau memiliki empat pola gerak, yaitu gerak salam sembah, gerak titi batang, gerak langkah tiga dan langkah empat, serta gerak salam terakhir.",Tradisi dan Ekspresi Lisan
Tari Rapa'i Bubee,"Tari Rapa'i Bubee adalah pertunjukan kesenian tradisional yang berkembang di Kabupaten Pidie Jaya, Aceh. Pertunjukan ini menggabungkan musik Rapa'i dan gerakan memainkan bubee, sebuah alat tradisional untuk menangkap ikan. Rapa'i Bubee memiliki sejarah yang panjang, dimulai dengan kesenian Rapa'i Kaoy yang dimainkan oleh Tgk. Syiah Abdul Kadir Pasee. Namun, karena Rapa'i Kaoy dianggap sakral dan tidak boleh dijadikan Seni Pertunjukan, Abu Mukim menciptakan Rapa'i Bubee sebagai bentuk hiburan untuk masyarakat. Tari Rapa'i Bubee berfungsi sebagai sarana hiburan bagi masyarakat setempat. Pertunjukan ini juga memiliki unsur mistis, di mana bubee digerakkan oleh makhluk halus (jin pari). Rapa'i Bubee juga berfungsi sebagai media penyampaian pesan dan dakwah melalui syair ayat al-Quran dan shalawat kepada Nabi Muhammad SAW. Proses pertunjukan Tari Rapa'i Bubee menggunakan Rapa'I, sebuah alat musik tradisional, serta bubee yang merupakan alat untuk menangkap ikan. Pertunjukan ini melibatkan 13 hingga 21 orang berusia di atas 30 tahun, terdiri dari penabuh, khalifah, pemain, dan syeh. Gerakan dalam pertunjukan ini melibatkan kaki dan tangan, dengan tidak terpaku pada hitungan tertentu. Pertunjukan Rapa'i Bubee biasanya berlangsung selama 10-30 menit di luar ruangan, dan menggunakan pakaian berupa celana, peci hitam, dan seragam songket. Properti yang digunakan mencakup tikar pandan, nasi pulut putih, tepung tawar, Rapa'i, bubee, dan alat musik tradisional lainnya.",Seni Pertunjukan
